"","X1","m_list1","m_list2","m_list3","active"
"1",1,"@cdopinion","CD Opinion","Â ",TRUE
"2",2,"@zhongbai2020","ä¸­å›½é©»ç™½ä¿„ç½—æ–¯å¤§ä½¿é¦†","Diplomatic/Government",TRUE
"3",3,"@amb_chenxu","Chen Xu","Diplomatic/Government",TRUE
"4",4,"@amb_lisong","Li Song ææ¾","Diplomatic/Government",TRUE
"5",5,"@amb_yiming","Zhang Yiming","Diplomatic/Government",TRUE
"6",6,"@amb_zhujing","Zhu Jing æœ±äº¬","Diplomatic/Government",TRUE
"7",7,"@ambassadechine","Ambassade de Chine en France","Diplomatic/Government",TRUE
"8",8,"@ambassador_liu","Liu Yuxi","Diplomatic/Government",TRUE
"9",9,"@ambassadorhuang","Huang Xingyuan","Diplomatic/Government",TRUE
"10",10,"@ambassadorlei","Lei Kezhong","Diplomatic/Government",TRUE
"11",11,"@ambassadorzhang","Amb. Zhang Lizhong","Diplomatic/Government",TRUE
"12",12,"@ambchanghua","Chang Hua","Diplomatic/Government",TRUE
"13",13,"@ambchenbo","Chen Bo","Diplomatic/Government",TRUE
"14",14,"@ambchenweiqing","Chen Weiqing","Diplomatic/Government",TRUE
"15",15,"@AmbCHENXiaodong","AmbCHENXiaodong","Diplomatic/Government",TRUE
"16",16,"@ambchineburundi","Ambassade de Chine au Burundi","Diplomatic/Government",TRUE
"17",17,"@ambchinecmr","Ambassade de Chine au Cameroun","Diplomatic/Government",TRUE
"18",18,"@ambchineenrdc","Ambassade de Chine en RDCä¸­å›½é©»åˆšæœï¼ˆé‡‘ï¼‰å¤§ä½¿é¦†","Diplomatic/Government",TRUE
"19",19,"@ambchinetchad","Ambassade de Chine au Tchad","Diplomatic/Government",TRUE
"20",20,"@ambcina","Ambasciata Repubblica Popolare Cinese in Italia","Diplomatic/Government",TRUE
"21",21,"@ambcuitiankai","Cui Tiankai","Diplomatic/Government",TRUE
"22",22,"@AmbDongXiaojun","Dong Xiaojun","Diplomatic/Government",TRUE
"23",23,"@ambliaoliqiang","Liao Liqiang","Diplomatic/Government",TRUE
"24",24,"@ambliuguangyuan","Liu Guangyuan","Diplomatic/Government",TRUE
"25",25,"@ambliuquan","Quan Liu","Diplomatic/Government",TRUE
"26",26,"@ambliuxiaoming","Liu Xiaoming","Diplomatic/Government",TRUE
"27",27,"@ambzhoujian","Zhou Jian","Diplomatic/Government",TRUE
"28",28,"@beltandroaddesk","Belt and Road & Beyond","Diplomatic/Government",TRUE
"29",29,"@CAOYI170610","æ›¹ æ¯… CAO Yi (Ø£Ø¨Ùˆ ÙˆØ³ÙŠÙ…)","Diplomatic/Government",TRUE
"30",30,"@cathaypak","Chinese Emb Pakistan","Diplomatic/Government",TRUE
"31",31,"@cgccusa","China General Chamber of Commerce â€“ USA","Diplomatic/Government",TRUE
"32",32,"@cgchina_cpt","Lin Jing æ—é™","Diplomatic/Government",TRUE
"33",33,"@CGChinaLiYang","Li Yang","Diplomatic/Government",TRUE
"34",34,"@cgprcindubai","ChinaConsulateDubai","Diplomatic/Government",TRUE
"35",35,"@cgzhangpingla","Zhang Ping","Diplomatic/Government",TRUE
"36",36,"@china_amb_india","Sun Weidong","Diplomatic/Government",TRUE
"37",37,"@china_amb_zim","Chinese Ambassador to Zimbabwe","Diplomatic/Government",TRUE
"38",38,"@china_emb_ng","Chinese Embassy in Nigeria","Diplomatic/Government",TRUE
"39",39,"@china_embajada","Embajada de China en Colombia","Diplomatic/Government",TRUE
"40",40,"@china_lyon","Consulat GÃ©nÃ©ral de Chine Ã  Lyon","Diplomatic/Government",TRUE
"41",41,"@china_opcw","Chinese Permanent Mission to the OPCW","Diplomatic/Government",TRUE
"42",42,"@china2asean","Ambassador Deng Xijun","Diplomatic/Government",TRUE
"43",43,"@chinaambbelgium","Cao Zhongming","Diplomatic/Government",TRUE
"44",44,"@chinaambuganda","Zheng ZhuQiang","Diplomatic/Government",TRUE
"45",45,"@chinaambun","Zhang Jun","Diplomatic/Government",TRUE
"46",46,"@chinaandsamoa","ä¸­å›½é©»è¨æ‘©äºšå¤§ä½¿é¦† Chinese Embassy in Samoa","Diplomatic/Government",TRUE
"47",47,"@chinacgcalgary","Chinese Consulate General in Calgary","Diplomatic/Government",TRUE
"48",48,"@chinaconsulate","Chinese Consulate General in Chicago","Diplomatic/Government",TRUE
"49",49,"@chinaconsulist","Ã‡in BaÅŸkonsolosluÄŸu SÃ¶zcÃ¼sÃ¼/ä¸­å›½é©»ä¼Šæ–¯å¦å¸ƒå°”æ€»é¢†é¦†å‘è¨€äºº","Diplomatic/Government",TRUE
"50",50,"@chinaconsydney","Chinese Consulate General in Sydney","Diplomatic/Government",TRUE
"51",51,"@chinaemb_hellas","Chinese Embassy in Greece","Diplomatic/Government",TRUE
"52",52,"@chinaembaddis","Chinese Embassy in Ethiopia","Diplomatic/Government",TRUE
"53",53,"@chinaembajada","Embajada de China en Chile","Diplomatic/Government",TRUE
"54",54,"@chinaembajadard","EmbajadaChinaenRD","Diplomatic/Government",TRUE
"55",55,"@chinaembangola","ChinaEmbAngola","Diplomatic/Government",TRUE
"56",56,"@chinaembarg","Embajada de China en Argentina","Diplomatic/Government",TRUE
"57",57,"@ChinaEmbassy_MW","Chinese Embassy in Malawi","Diplomatic/Government",TRUE
"58",58,"@chinaembassyt","ChinaEmbassy Tirana","Diplomatic/Government",TRUE
"59",59,"@chinaembaustria","Chinesische Botschaft in Ã–sterreich","Diplomatic/Government",TRUE
"60",60,"@chinaembcongobz","Ambassade de Chine en RÃ©publique du Congo","Diplomatic/Government",TRUE
"61",61,"@chinaembesp","Embajada de China en EspaÃ±a","Diplomatic/Government",TRUE
"62",62,"@chinaembgermany","Chinesische Botschaft in Deutschland","Diplomatic/Government",TRUE
"63",63,"@chinaembgrenada","Chinese Embassy in Grenada","Diplomatic/Government",TRUE
"64",64,"@chinaembingh","ä¸­å›½é©»åŠ çº³å¤§ä½¿é¦† Chinese Embassy in Ghana","Diplomatic/Government",TRUE
"65",65,"@chinaembinmr","ä¸­å›½é©»æ¯›é‡Œå¡”å°¼äºšä½¿é¦†Ambassade de Chine en Mauritanie","Diplomatic/Government",TRUE
"66",66,"@chinaembireland","Chinese Embassy in Ireland","Diplomatic/Government",TRUE
"67",67,"@chinaembkabul","Wang Yu ç‹æ„š","Diplomatic/Government",TRUE
"68",68,"@chinaembkazakh","ĞŸĞ¾ÑĞ¾Ğ»ÑŒÑÑ‚Ğ²Ğ¾ ĞšĞĞ  Ğ² ĞšĞ°Ğ·Ğ°Ñ…ÑÑ‚Ğ°Ğ½Ğµ","Diplomatic/Government",TRUE
"69",69,"@chinaembksa","Embassy of China in KSA Ø³ÙØ§Ø±Ø© Ø§Ù„ØµÙŠÙ† ÙÙŠ Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©","Diplomatic/Government",TRUE
"70",70,"@chinaembmanila","ChineseEmbassyManila","Diplomatic/Government",TRUE
"71",71,"@chinaembnl","Embassy of China in the Netherlands","Diplomatic/Government",TRUE
"72",72,"@chinaembottawa","ChineseEmbassyOttawa","Diplomatic/Government",TRUE
"73",73,"@chinaembperu","Embajada de China en el PerÃº","Diplomatic/Government",TRUE
"74",74,"@chinaembpoland","Chinese Embassy in Poland","Diplomatic/Government",TRUE
"75",75,"@chinaembsl","Chinese Embassy in Sri Lanka","Diplomatic/Government",TRUE
"76",76,"@chinaembsvk","ä¸­å›½é©»æ–¯æ´›ä¼å…‹ä½¿é¦† ÄŒÃ­nske veÄ¾vyslanectvo na Slovensku","Diplomatic/Government",TRUE
"77",77,"@chinaembturkey","Ã‡in BÃ¼yÃ¼kelÃ§iliÄŸi Ankara/ä¸­å›½é©»åœŸè€³å…¶ä½¿é¦†","Diplomatic/Government",TRUE
"78",78,"@chinaemslovenia","ChineseEmbassySlovenia","Diplomatic/Government",TRUE
"79",79,"@chinaeumission","Mission of China","Diplomatic/Government",TRUE
"80",80,"@chinaindenmark","Kina i Danmark","Diplomatic/Government",TRUE
"81",81,"@chinainlebanon","Wang Kejian","Diplomatic/Government",TRUE
"82",82,"@chinairaq","China Embassy in Iraq","Diplomatic/Government",TRUE
"83",83,"@chinamission2un","Chinese Mission to UN","Diplomatic/Government",TRUE
"84",84,"@chinamissiongva","China Mission Geneva","Diplomatic/Government",TRUE
"85",85,"@chinamissionvie","Permanent Mission of China in Vienna","Diplomatic/Government",TRUE
"86",86,"@chinascio","China SCIO","Diplomatic/Government",TRUE
"87",87,"@chinaspox_india","Ji Rong","Diplomatic/Government",TRUE
"88",88,"@chine_au_mali","ä¸­å›½é©»é©¬é‡Œå¤§ä½¿é¦† Ambassade de Chine au Mali","Diplomatic/Government",TRUE
"89",89,"@chine_guinee","ä¸­å›½é©»å‡ å†…äºšå¤§ä½¿é¦† Ambassade de Chine en GuinÃ©e","Diplomatic/Government",TRUE
"90",90,"@chineambdjibout","Ambassade de Chine Ã  Djibouti","Diplomatic/Government",TRUE
"91",91,"@chineseemb_png","Chinese Embassy in PNG","Diplomatic/Government",TRUE
"92",92,"@chineseemb_uga","Chinese Embassy in Uganda","Diplomatic/Government",TRUE
"93",93,"@chineseembassy1","chineseembassybangkok","Diplomatic/Government",TRUE
"94",94,"@chineseembassyj","Embassy of the Peopleâ€s Republic of China-Jordan","Diplomatic/Government",TRUE
"95",95,"@chineseembincz","Chinese Embassy in CZ","Diplomatic/Government",TRUE
"96",96,"@chineseembinhu","Chinese Embassy in Hungary","Diplomatic/Government",TRUE
"97",97,"@chineseembinrus","Chinese Embassy in Russia ä¸­å›½é©»ä¿„ç½—æ–¯å¤§ä½¿é¦†","Diplomatic/Government",TRUE
"98",98,"@chineseembinuk","Chinese Embassy in UK","Diplomatic/Government",TRUE
"99",99,"@chineseembinus","Chinese Embassy in US","Diplomatic/Government",TRUE
"100",100,"@chineseembkenya","Chinese Embassy in Kenya","Diplomatic/Government",TRUE
"101",101,"@chineseembtoyem","Chinese Embassy to Yemen","Diplomatic/Government",TRUE
"102",102,"@chineseembtz","Chinese Embassy in Tanzania","Diplomatic/Government",TRUE
"103",103,"@chineseliberia","Chinese Embassy in Liberia","Diplomatic/Government",TRUE
"104",104,"@chinesesomalia","Chinese Embassy in Somalia","Diplomatic/Government",TRUE
"105",105,"@chinesezimbabwe","Chinese Embassy in Zimbabwe","Diplomatic/Government",TRUE
"106",106,"@chn_egy","Spokesperson of the Chinese Embassy in Egypt","Diplomatic/Government",TRUE
"107",107,"@chn_un_ny","Spokesperson of Chinese Mission to UN","Diplomatic/Government",TRUE
"108",108,"@chnconsul_osaka","ä¸­è¯äººæ°‘å…±å’Œå›½é§å¤§é˜ªç·é ˜äº‹é¤¨","Diplomatic/Government",TRUE
"109",109,"@chnconsulatefuk","ä¸­è¯äººæ°‘å…±å’Œå›½é§ç¦å²¡ç·é ˜äº‹é¤¨","Diplomatic/Government",TRUE
"110",110,"@chnconsulatejhb","Chinese Consulate General in Johannesburg","Diplomatic/Government",TRUE
"111",111,"@chnconsulatengo","ä¸­è¯äººæ°‘å…±å’Œå›½é§åå¤å±‹ç·é ˜äº‹é¤¨","Diplomatic/Government",TRUE
"112",112,"@chnconsulatengt","ä¸­è¯äººæ°‘å…±å’Œå›½é§æ–°æ½Ÿç·é ˜äº‹é¤¨ã®æ–°ã¡ã‚ƒã‚“","Diplomatic/Government",TRUE
"113",113,"@chnembassy_jp","ä¸­è¯äººæ°‘å…±å’Œå›½é§æ—¥æœ¬å›½å¤§ä½¿é¤¨","Diplomatic/Government",TRUE
"114",114,"@chnmission","Liu Yuyin åˆ˜ç‰å°","Diplomatic/Government",TRUE
"115",115,"@cidcaofficial","CIDCA","Diplomatic/Government",TRUE
"116",116,"@ciieonline","China International Import Expo","Diplomatic/Government",TRUE
"117",117,"@consulat_de","Consulat gÃ©nÃ©ral de Chine Ã  Strasbourg","Diplomatic/Government",TRUE
"118",118,"@consulatesan","Chinese Consulate General in San Francisco","Diplomatic/Government",TRUE
"119",119,"@consulchinabcn","Consulado General de China en Barcelona ä¸­å›½é©»å·´å¡ç½—é‚£æ€»é¢†é¦†","Diplomatic/Government",TRUE
"120",120,"@consulchinarj","Consulado-Geral da China no Rio de Janeiro","Diplomatic/Government",TRUE
"121",121,"@dong_zhihua","Dong Zhihua","Diplomatic/Government",TRUE
"122",122,"@dr_zhaoqinghua","Generalkonsul Zhao Qinghua","Diplomatic/Government",TRUE
"123",123,"@drzhaoyanbo","Zhao Yanbo","Diplomatic/Government",TRUE
"124",124,"@drzhaoyongchen","ZHAO Yongchen","Diplomatic/Government",TRUE
"125",125,"@emb_chinaven","Embajada de China en Venezuela","Diplomatic/Government",TRUE
"126",126,"@embaixadachina","Embaixada da China no Brasil","Diplomatic/Government",TRUE
"127",127,"@embajadachinaec","Embajada de la RepÃºblica Popular China en Ecuador","Diplomatic/Government",TRUE
"128",128,"@embajadachinasv","Embajada de la RepÃºblica Popular China en SV","Diplomatic/Government",TRUE
"129",129,"@embassy_chinese","ä¸­å›½é©»æ±¤åŠ å¤§ä½¿é¦†","Diplomatic/Government",TRUE
"130",130,"@embchina_rs","Chinese Embassy in Serbia","Diplomatic/Government",TRUE
"131",131,"@embchinacuba","Embajada de la RepÃºblica Popular China en Cuba","Diplomatic/Government",TRUE
"132",132,"@embchinage","Embajada de China Malabo","Diplomatic/Government",TRUE
"133",133,"@embzhangrun","Zhang Run","Diplomatic/Government",TRUE
"134",134,"@fangyi85320692","Fang Yi","Diplomatic/Government",TRUE
"135",135,"@fucong17","Fu Cong å‚…èª","Diplomatic/Government",TRUE
"136",136,"@generalkonsuldu","Generalkonsul Du Xiaohui","Diplomatic/Government",TRUE
"137",137,"@indurban1","Feimingxingè´¹æ˜æ˜Ÿ","Diplomatic/Government",TRUE
"138",138,"@juliojiangwei","å§œä¼Ÿ Jiang WeiğŸ‡¨ğŸ‡³","Diplomatic/Government",TRUE
"139",139,"@li_baorong","Li Baorong","Diplomatic/Government",TRUE
"140",140,"@li_xiaosi","Li Xiaosi","Diplomatic/Government",TRUE
"141",141,"@libijian2","libijianæç¢§å»º","Diplomatic/Government",TRUE
"142",142,"@LiuChan14790671","åˆ˜ç•… Liu Chang","Diplomatic/Government",TRUE
"143",143,"@liuhongyang4","Liu_Hongyang","Diplomatic/Government",TRUE
"144",144,"@liyingzhu1","Ambassadeur æœ±ç«‹è‹±","Diplomatic/Government",TRUE
"145",145,"@luisxu9","Luis Xu Tiefei å¾é“é£","Diplomatic/Government",TRUE
"146",146,"@MahuiChina","MA Hui é©¬ è¾‰","Diplomatic/Government",TRUE
"147",147,"@mfa_china","Spokespersonå‘è¨€äººåŠå…¬å®¤","Diplomatic/Government",TRUE
"148",148,"@oujianhong","Ou Jianhong","Diplomatic/Government",TRUE
"149",NA,"@CHNEmbSuriname",NA,NA,NA
"150",NA,"@ChinaEmbAlgeria",NA,NA,NA
"151",NA,"@zhang_heqing",NA,NA,NA
"152",NA,"@ChinaEmbFinland",NA,NA,NA
"153",NA,"@Chinacgedi",NA,NA,NA
"154",NA,"@china_CCYL",NA,NA,NA
"155",NA,"@YXiusheng",NA,NA,NA
"156",NA,"@spokespersonHZM",NA,NA,NA
"157",NA,"@CGMeifangZhang",NA,NA,NA
"158",NA,"@CNPakWW",NA,NA,NA
"159",NA,"@CCGBelfast",NA,NA,NA
"160",NA,"@ConsuladoCHNSC",NA,NA,NA
"161",NA,"@Chinese_Embassy",NA,NA,NA
"162",NA,"@ZhaLiYou",NA,NA,NA
"163",NA,"@PRCAmbNepal",NA,NA,NA
"164",NA,"@PRCAmbNL",NA,NA,NA
"165",NA,"@jejuZLG",NA,NA,NA
"166",NA,"@SpokespersonCHN",NA,NA,NA
"167",NA,"@hkpoliceforce",NA,NA,NA
"168",NA,"@FAODG",NA,NA,NA
"169",NA,"@Xhinua_1988",NA,NA,NA
"170",NA,"@jenniferqu",NA,NA,NA
"171",NA,"@zlj517",NA,NA,NA
"172",NA,"@Song_Chq",NA,NA,NA
"173",NA,"@caizin_news",NA,NA,NA
"174",NA,"@PDChinaHK",NA,NA,NA
"175",NA,"@DailyBeijing",NA,NA,NA
"176",NA,"@Chinadaily_CH",NA,NA,NA
"177",NA,"@CDHKedition",NA,NA,NA
"178",NA,"@ChinaDaily_Life",NA,NA,NA
"179",NA,"@CD_visual",NA,NA,NA
"180",NA,"@DXinjiang",NA,NA,NA
"181",NA,"@wangxh65",NA,NA,NA
"182",NA,"@PacificDialog",NA,NA,NA
"183",NA,"@Fengshows",NA,NA,NA
"184",NA,"@zhihuapp",NA,NA,NA
"185",NA,"@CGTN_Culture",NA,NA,NA
"186",NA,"@PDChinaSports",NA,NA,NA
"187",NA,"@ChinaScience",NA,NA,NA
"188",NA,"@PDChinaBusiness",NA,NA,NA
"189",NA,"@PDChinaLife",NA,NA,NA
"190",NA,"@BrilliantChina",NA,NA,NA
"191",NA,"@thepapercn",NA,NA,NA
"192",NA,"@HKCD_COM",NA,NA,NA
"193",NA,"@thouse_opinions",NA,NA,NA
"194",NA,"@CCTVAsiaPacific",NA,NA,NA
"195",NA,"@FlyOverChina",NA,NA,NA
"196",NA,"@realGuancha",NA,NA,NA
"197",NA,"@XinhuaTravel",NA,NA,NA
"198",NA,"@YongyuanCui1",NA,NA,NA
"199",NA,"@GlobalTimes_CN",NA,NA,NA
"200",NA,"@ChinaQandA",NA,NA,NA
"201",NA,"@xiwzwb",NA,NA,NA
"202",NA,"@hongfenghuang",NA,NA,NA
"203",NA,"@China_Fact",NA,NA,NA
"204",NA,"@ChinaCulture8",NA,NA,NA
"205",NA,"@CGTNEurope",NA,NA,NA
"206",NA,"@XHNorthAmerica",NA,NA,NA
"207",NA,"@cgtnarabic",NA,NA,NA
"208",NA,"@cgtnenespanol",NA,NA,NA
"209",NA,"@XHscitech",NA,NA,NA
"210",NA,"@XHSports",NA,NA,NA
"211",NA,"@takungwenwei_hk",NA,NA,NA
"212",NA,"@Chinacultureorg",NA,NA,NA
"213",NA,"@CCTV_Plus",NA,NA,NA
"214",NA,"@Beijing2022",NA,NA,NA
"215",NA,"@HuXijin_GT",NA,NA,NA
"216",NA,"@PhoenixTVHK",NA,NA,NA
"217",NA,"@CGTNFrancais",NA,NA,NA
"218",NA,"@CNS1952",NA,NA,NA
"219",NA,"@XinhuaChinese",NA,NA,NA
"220",NA,"@PDChinese",NA,NA,NA
"221",NA,"@ipandacom",NA,NA,NA
"222",NA,"@CGTNOfficial",NA,NA,NA
"223",NA,"@cgtnamerica",NA,NA,NA
"224",NA,"@cgtnafrica",NA,NA,NA
"225",NA,"@Guangming_Daily",NA,NA,NA
"226",NA,"@shen_shiwei",NA,NA,NA
"227",NA,"@PhoenixTVUSA",NA,NA,NA
"228",NA,"@XHNews",NA,NA,NA
"229",NA,"@Jingjing_Li",NA,NA,NA
"230",NA,"@akaDashan",NA,NA,NA
"231",NA,"@Echinanews",NA,NA,NA
"232",NA,"@ChinaDailyEU",NA,NA,NA
"233",NA,"@PDChina",NA,NA,NA
"234",NA,"@qingqingparis",NA,NA,NA
"235",NA,"@cnewsgovhk",NA,NA,NA
"236",NA,"@newsgovhk_epr",NA,NA,NA
"237",NA,"@newsgovhk_cpr",NA,NA,NA
"238",NA,"@newsgovhk",NA,NA,NA
"239",NA,"@chenweihua",NA,NA,NA
"240",NA,"@ChinaDaily",NA,NA,NA
"241",NA,"@CCTV",NA,NA,NA
"242",NA,"@globaltimesnews",NA,NA,NA
"243",NA,"@chinanewsweek",NA,NA,NA
"244",NA,"@LiuXininBeijing",NA,NA,NA
"245",NA,"@ChinaPlusNews",NA,NA,NA
"246",NA,"@shanghaidaily",NA,NA,NA
"247",NA,"@ZouYueTweets",NA,NA,NA
"248",NA,"@HunanToday",NA,NA,NA
"249",NA,"@CCG_org",NA,NA,NA
"250",NA,"@InZhejiang",NA,NA,NA
"251",NA,"@OverseasCHN",NA,NA,NA
"252",NA,"@OliviaSongCNA",NA,NA,NA
"253",NA,"@NLChina",NA,NA,NA
"254",NA,"@CECCgov",NA,NA,NA
"255",NA,"@chinaorgcn",NA,NA,NA
"256",NA,"@CDT",NA,NA,NA
"257",NA,"@Hola_Dani",NA,NA,NA
"258",NA,"@weilinkuang",NA,NA,NA
"259",NA,"@MGuoliang",NA,NA,NA
"260",NA,"@ErwenXu",NA,NA,NA
